incident_id,device,window_start,window_end,text,fault_class
820,R5,2025-11-22 02:05:00,2025-11-22 02:08:19.133574,"%KERN-3-PROCESSBLOCK: Process blocked due to CPU saturation %LINEPROTO-5-UPDOWN: Line protocol on Interface Gi0/1, changed state to down",CPU_SPIKE
998,R6,2025-11-22 06:35:00,2025-11-22 06:38:15.133574,%CONFIG-3-ERROR: Failed to apply running-config changes %OAM-3-LOST: Loss of signal on port Gi0/1,CONFIG_ERROR
624,R4,2025-11-21 20:20:00,2025-11-21 20:24:15.133574,%AUTH-3-FAIL: Authentication failed for user admin %LINK-3-UPDOWN: Interface Gi0/1 is down,AUTH_FAILURE
952,R6,2025-11-21 22:40:00,2025-11-21 22:42:47.133574,%KERN-3-PROCESSBLOCK: Process blocked due to CPU saturation %BGP-5-ADJCHANGE: BGP adjacency changed from Established to Idle,CPU_SPIKE
699,R4,2025-11-22 08:05:00,2025-11-22 08:06:06.133574,%LINK-5-UPDOWN: Interface Gi0/2 changed state to up %SYS-4-RESCHED: High CPU caused delayed process scheduling,NORMAL
1185,R7,2025-11-22 12:00:00,2025-11-22 12:04:43.133574,%SYS-4-RESCHED: High CPU caused delayed process scheduling %LINK-3-UPDOWN: Interface Gi0/1 is down,CPU_SPIKE
776,R5,2025-11-21 19:20:00,2025-11-21 19:23:37.133574,%ETH-4-LINKFLAP: Interface Gi0/1 link flapping detected %SYS-4-CONFIG: Rollback initiated due to config inconsistency %OAM-3-LOST: Loss of signal on port Gi0/1,LINK_DOWN
232,R10,2025-11-22 02:40:00,2025-11-22 02:43:28.133574,%KERN-3-PROCESSBLOCK: Process blocked due to CPU saturation %AUTH-3-FAIL: Authentication failed for user admin,CPU_SPIKE
810,R5,2025-11-22 00:15:00,2025-11-22 00:18:56.133574,%SYS-4-CONFIG: Rollback initiated due to config inconsistency %SYS-4-CONFIG: Rollback initiated due to config inconsistency,CONFIG_ERROR
910,R6,2025-11-21 16:35:00,2025-11-21 16:39:29.133574,%SYS-4-CONFIG: Rollback initiated due to config inconsistency %OAM-3-LOST: Loss of signal on port Gi0/1 %AUTH-3-FAIL: Authentication failed for user admin %ETH-4-LINKFLAP: Interface Gi0/1 link flapping detected,LINK_DOWN
1349,R8,2025-11-22 14:50:00,2025-11-22 14:53:47.133574,"%BGP-5-NBR_RESET: Neighbor 10.1.1.1 reset, closed peer connection %LINK-3-UPDOWN: Interface Gi0/1 is down %BGP-4-MSG: BGP notification sent to neighbor 10.1.1.1",BGP_FLAP
533,R3,2025-11-22 05:25:00,2025-11-22 05:28:21.133574,%RADIUS-4-ERROR: RADIUS server timeout %LINK-5-UPDOWN: Interface Gi0/2 changed state to up,AUTH_FAILURE
220,R10,2025-11-22 00:55:00,2025-11-22 00:59:06.133574,%CONFIG-3-ERROR: Failed to apply running-config changes %SYS-4-CONFIG: Rollback initiated due to config inconsistency %SSH-5-FAIL: Failed login attempt for user root,CONFIG_ERROR
1219,R8,2025-11-21 17:20:00,2025-11-21 17:22:41.133574,"%SYS-3-CPUHOG: Task Scheduler detected CPU hog process %AUTH-3-FAIL: Authentication failed for user admin %BGP-5-NBR_RESET: Neighbor 10.1.1.1 reset, closed peer connection",CPU_SPIKE
1240,R8,2025-11-21 21:30:00,2025-11-21 21:33:10.133574,"%SYS-5-LOGGING: System logging restarted %LINEPROTO-5-UPDOWN: Line protocol on Interface Gi0/1, changed state to down",NORMAL
1011,R6,2025-11-22 08:15:00,2025-11-22 08:17:49.133574,%RADIUS-4-ERROR: RADIUS server timeout %AAA-5-NO_ATTR: Missing AAA attributes in request,AUTH_FAILURE
1190,R7,2025-11-22 12:35:00,2025-11-22 12:37:00.133574,%ETH-4-LINKFLAP: Interface Gi0/1 link flapping detected %LINK-3-UPDOWN: Interface Gi0/1 is down,LINK_DOWN
678,R4,2025-11-22 04:35:00,2025-11-22 04:39:15.133574,%ETH-4-LINKFLAP: Interface Gi0/1 link flapping detected %CONFIG-3-ERROR: Failed to apply running-config changes %SSH-5-FAIL: Failed login attempt for user root,LINK_DOWN
730,R4,2025-11-22 12:25:00,2025-11-22 12:28:34.133574,%SYS-5-CONFIG_I: Invalid configuration on interface Gi0/1 %BGP-4-MSG: BGP notification sent to neighbor 10.1.1.1 %SSH-5-FAIL: Failed login attempt for user root,CONFIG_ERROR
675,R4,2025-11-22 03:45:00,2025-11-22 03:48:27.133574,"%SYS-4-CONFIG: Rollback initiated due to config inconsistency %ETH-4-LINKFLAP: Interface Gi0/1 link flapping detected %BGP-5-NBR_RESET: Neighbor 10.1.1.1 reset, closed peer connection %OAM-3-LOST: Loss of signal on port Gi0/1",LINK_DOWN
1147,R7,2025-11-22 05:25:00,2025-11-22 05:28:52.133574,%BGP-3-KEEPALIVE: Missing keepalive from neighbor 10.1.1.1 %AAA-5-NO_ATTR: Missing AAA attributes in request %BGP-3-KEEPALIVE: Missing keepalive from neighbor 10.1.1.1 %AAA-5-NO_ATTR: Missing AAA attributes in request,BGP_FLAP
19,R1,2025-11-21 18:20:00,2025-11-21 18:24:27.133574,%ETH-4-LINKFLAP: Interface Gi0/1 link flapping detected %SYS-5-CONFIG_I: Invalid configuration on interface Gi0/1,LINK_DOWN
1088,R7,2025-11-21 19:40:00,2025-11-21 19:41:53.133574,"%SYS-3-CPUHOG: Task Scheduler detected CPU hog process %BGP-5-NBR_RESET: Neighbor 10.1.1.1 reset, closed peer connection %OAM-3-LOST: Loss of signal on port Gi0/1",CPU_SPIKE
380,R2,2025-11-22 03:05:00,2025-11-22 03:09:02.133574,%SSH-5-FAIL: Failed login attempt for user root %BGP-5-ADJCHANGE: BGP adjacency changed from Established to Idle,AUTH_FAILURE
264,R10,2025-11-22 07:50:00,2025-11-22 07:53:50.133574,%LINK-3-UPDOWN: Interface Gi0/1 is down %BGP-5-NBRUP: BGP adjacency established successfully,LINK_DOWN
