incident_id,device,window_start,window_end,text,fault_class
0,R1,2025-11-21 15:15:00,2025-11-21 15:19:33.133574,%AUTH-3-FAIL: Authentication failed for user admin %SSH-5-FAIL: Failed login attempt for user root %RADIUS-4-ERROR: RADIUS server timeout,AUTH_FAILURE
1,R1,2025-11-21 15:25:00,2025-11-21 15:27:31.133574,%KERN-3-PROCESSBLOCK: Process blocked due to CPU saturation %SSH-5-FAIL: Failed login attempt for user root,CPU_SPIKE
2,R1,2025-11-21 15:30:00,2025-11-21 15:34:07.133574,%BGP-4-MSG: BGP notification sent to neighbor 10.1.1.1 %KERN-3-PROCESSBLOCK: Process blocked due to CPU saturation %SYS-5-CONFIG_I: Invalid configuration on interface Gi0/1,BGP_FLAP
3,R1,2025-11-21 15:45:00,2025-11-21 15:49:23.133574,%CONFIG-3-ERROR: Failed to apply running-config changes %LINK-3-UPDOWN: Interface Gi0/1 is down %SYS-5-CONFIG_I: Invalid configuration on interface Gi0/1,CONFIG_ERROR
4,R1,2025-11-21 15:50:00,2025-11-21 15:53:12.133574,"%SYS-4-RESCHED: High CPU caused delayed process scheduling %BGP-5-NBR_RESET: Neighbor 10.1.1.1 reset, closed peer connection",CPU_SPIKE
5,R1,2025-11-21 15:55:00,2025-11-21 15:57:42.133574,%BGP-5-ADJCHANGE: BGP adjacency changed from Established to Idle %SYS-3-CPUHOG: Task Scheduler detected CPU hog process %SYS-4-CONFIG: Rollback initiated due to config inconsistency %LINK-3-UPDOWN: Interface Gi0/1 is down,BGP_FLAP
6,R1,2025-11-21 16:05:00,2025-11-21 16:08:26.133574,%RADIUS-4-ERROR: RADIUS server timeout %SYS-5-LOGGING: System logging restarted %SYS-3-CPUHOG: Task Scheduler detected CPU hog process %SSH-5-FAIL: Failed login attempt for user root,AUTH_FAILURE
7,R1,2025-11-21 16:10:00,2025-11-21 16:12:06.133574,%SYS-4-CONFIG: Rollback initiated due to config inconsistency %BGP-5-NBRUP: BGP adjacency established successfully,CONFIG_ERROR
8,R1,2025-11-21 16:15:00,2025-11-21 16:18:13.133574,%PARSER-4-BADCMD: Bad command detected in config file %RADIUS-4-ERROR: RADIUS server timeout,CONFIG_ERROR
9,R1,2025-11-21 16:25:00,2025-11-21 16:28:51.133574,%KERN-3-PROCESSBLOCK: Process blocked due to CPU saturation %AUTH-3-FAIL: Authentication failed for user admin,CPU_SPIKE
