timestamp,device,message,fault_class
2025-11-22T09:49:44.133574,R1,%CONFIG-3-ERROR: Failed to apply running-config changes,CONFIG_ERROR
2025-11-22T12:02:30.133574,R6,%CONFIG-3-ERROR: Failed to apply running-config changes,CONFIG_ERROR
2025-11-22T11:48:38.133574,R3,%SYS-5-RELOAD: Reload requested by admin,NORMAL
2025-11-21T16:45:01.133574,R8,"%BGP-5-NBR_RESET: Neighbor 10.1.1.1 reset, closed peer connection",BGP_FLAP
2025-11-22T10:26:20.133574,R9,%OAM-3-LOST: Loss of signal on port Gi0/1,LINK_DOWN
2025-11-22T03:09:02.133574,R2,%BGP-5-ADJCHANGE: BGP adjacency changed from Established to Idle,BGP_FLAP
2025-11-21T23:01:28.133574,R4,%CONFIG-3-ERROR: Failed to apply running-config changes,CONFIG_ERROR
2025-11-21T23:44:49.133574,R4,%BGP-5-NBRUP: BGP adjacency established successfully,NORMAL
2025-11-22T07:00:02.133574,R3,%AUTH-3-FAIL: Authentication failed for user admin,AUTH_FAILURE
2025-11-22T06:37:09.133574,R4,%PLATFORM-3-CPUHIGH: CPU utilization above 95%,CPU_SPIKE
2025-11-22T04:53:37.133574,R3,%SYS-4-RESCHED: High CPU caused delayed process scheduling,CPU_SPIKE
2025-11-22T07:57:06.133574,R4,%BGP-5-NBRUP: BGP adjacency established successfully,NORMAL
2025-11-22T14:11:11.133574,R5,%BGP-4-MSG: BGP notification sent to neighbor 10.1.1.1,BGP_FLAP
2025-11-21T18:45:40.133574,R6,%LINK-3-UPDOWN: Interface Gi0/1 is down,LINK_DOWN
2025-11-21T15:20:29.133574,R2,%CONFIG-3-ERROR: Failed to apply running-config changes,CONFIG_ERROR
2025-11-22T05:32:51.133574,R1,%BGP-4-MSG: BGP notification sent to neighbor 10.1.1.1,BGP_FLAP
2025-11-22T14:54:36.133574,R3,%CONFIG-3-ERROR: Failed to apply running-config changes,CONFIG_ERROR
2025-11-22T15:00:44.133574,R1,%SYS-5-LOGGING: System logging restarted,NORMAL
2025-11-22T12:28:26.133574,R4,%BGP-4-MSG: BGP notification sent to neighbor 10.1.1.1,BGP_FLAP
2025-11-21T22:19:39.133574,R10,"%LINEPROTO-5-UPDOWN: Line protocol on Interface Gi0/1, changed state to down",LINK_DOWN
2025-11-22T09:53:25.133574,R9,%OAM-3-LOST: Loss of signal on port Gi0/1,LINK_DOWN
2025-11-22T01:49:59.133574,R3,%SYS-4-RESCHED: High CPU caused delayed process scheduling,CPU_SPIKE
2025-11-21T23:58:41.133574,R4,%SYS-5-LOGGING: System logging restarted,NORMAL
